"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
527,"Milieu",7,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,20,NA,NA,NA,20,20,NA,NA,NA,NA,0.00025,25.09,2,"0","1","1",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
535,"Defenseur",9,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04,13.88,3,"1","1","0",1,1,1,1,5,270,4,NA,11,702,8,NA,3,117,1,0
540,"Milieu",5,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02083,0.11,2,"1","0","0",1,1,0,NA,1,49,NA,NA,16,744,8,NA,NA,NA,NA,1
545,"Defenseur",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.53,2,"1","0","0",1,0,0,NA,2,89,1,NA,NA,NA,NA,NA,NA,NA,NA,0
546,"Defenseur",1,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM PLOUFRAGAN",0,1,12.95,13.25,14.29,13.25,13.92,13.92,14.29,13.25,13.25,12.95,3e-05,10.11,4,"1","1","1",1,0,0,1,3,134,2,NA,NA,NA,NA,NA,NA,NA,NA,0
547,"Defenseur",4,"France","aucun","aucun",0,1,NA,15.97,15.97,15.97,14.13,14.13,15.97,15.97,15.97,NA,0,13.3,4,"1","0","1",1,0,0,NA,5,266,4,NA,NA,NA,NA,NA,NA,NA,NA,0
557,"Defenseur",1,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,14.19,14.19,14.19,15.8,15.8,14.19,14.19,14.19,NA,0.00015,12.22,2,"0","1","0",1,0,0,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,0
558,"Attaquant",8,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
568,"Defenseur",9,"France","aucun","aucun",1,0,11.43,14.47,15.22,14.47,15.22,15.22,15.22,14.47,14.47,11.43,0.00019,7.67,3,"1","0","1",1,1,1,NA,11,645,7,NA,9,612,7,3,9,606,7,1
590,"Defenseur",7,"France","aucun","aucun",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"0","0","1",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
593,"Defenseur",2,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.84,1,"1","0","0",1,0,0,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,0
595,"Attaquant",9,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00168,14.55,3,"1","0","0",1,0,0,9,10,455,5,NA,NA,NA,NA,NA,NA,NA,NA,0
603,"Milieu",9,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50.5,1,"0","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
604,"Attaquant",12,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
616,"Milieu",7,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",0,1,16.52,15.39,14.55,15.39,15.37,15.37,14.55,15.39,15.39,16.52,0.00016,9.81,5,"1","0","1",1,1,0,2,11,658,8,NA,2,134,1,NA,NA,NA,NA,0
628,"Attaquant",9,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,0,10.59,10.59,14.34,10.59,NA,NA,14.34,10.59,10.59,10.59,0.00035,8.94,3,"0","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,231,3,1
636,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,18.11,18.11,18.11,18.11,18.11,18.11,NA,18.11,18.11,18.11,0,12.86,1,"0","1","0",0,1,1,NA,NA,NA,NA,NA,6,540,6,NA,2,180,2,0
